year,Month,precipitation
82-83,4,78.00
82-83,5,6.50
82-83,6,33.00
82-83,7,33.50
82-83,8,0.00
82-83,9,0.00
82-83,10,8.00
82-83,11,0.00
82-83,12,0.00
83-84,1,0.00
83-84,2,0.00
83-84,3,23.00
83-84,4,27.00
83-84,5,2.00
83-84,6,6.50
83-84,7,6.00
83-84,8,2.70
83-84,9,10.20
83-84,10,0.00
83-84,11,0.00
83-84,12,0.00
84-85,1,0.00
84-85,2,0.00
84-85,3,0.00
84-85,4,13.40
84-85,5,10.00
84-85,6,0.50
84-85,7,8.00
84-85,8,18.50
84-85,9,0.00
84-85,10,0.00
84-85,11,0.00
84-85,12,0.00
85-86,1,0.00
85-86,2,27.00
85-86,3,22.50
85-86,4,3.62
85-86,5,19.79
85-86,6,0.17
85-86,7,26.20
85-86,8,18.50
85-86,9,0.00
85-86,10,0.00
85-86,11,0.00
85-86,12,0.00
86-87,1,0.00
86-87,2,0.00
86-87,3,8.50
86-87,4,11.50
86-87,5,0.50
86-87,6,0.00
86-87,7,0.50
86-87,8,0.00
86-87,9,0.00
86-87,10,0.00
86-87,11,0.00
86-87,12,1.00
87-88,1,0.00
87-88,2,4.70
87-88,3,16.50
87-88,4,0.50
87-88,5,11.20
87-88,6,9.60
87-88,7,16.70
87-88,8,5.10
87-88,9,0.80
87-88,10,1.00
87-88,11,1.00
87-88,12,1.00
88-89,1,1.00
88-89,2,2.50
88-89,3,51.00
88-89,4,1.00
88-89,5,16.40
88-89,6,8.90
88-89,7,24.60
88-89,8,1.60
88-89,9,1.00
88-89,10,1.00
88-89,11,1.00
88-89,12,1.00
